id;Der;ferfi;Die;no;Das;semleges;Ige;verb;Melléknév;adj;Egyéb szófaj;other;Helynevek;place;Hónapok;month;Új;new
15;r Maler, ~;festő;e Autobahn, en;autópálya;s Mädchen, ~;kislány;Gitarre spielen;gitározni;jung;fiatal;also;tehát;Finnland;Finnország;;;e Geschichte, n;történet
16;r Physiker, ~;fizikus;e Donau;Duna;s Hotel, s;szálloda;Sport machen;sportolni;arbeitslos;munkanélküli;jetzt;most;Rumänien;Románia;;;e Geschichte;történelem
17;r Dichter, ~;költő;e Kasse, n;kassza;s Taxi, s;taxi;leben;élni;nett;barátságos/kedves;zusammen;együtt;Tschechien;Csehország;;;e Lust, ˝-e;vágy
18;r Erfinder, ~;feltaláló;e Pizza, s/Pizzen;pizza;s Zimmer, ~;szoba;tranieren;edzeni;schlecht;rossz;Ballett tanzen;balettáncos;Griechenland;Görögország;;;e Freiheit, en;szabadság
19;r Ingenieur, e;mérnök;e Frage, n;kérdés;s Restaurant, s;étterem;Klavier spielen;zongorázni;teuer;drága;nur;csak;Kroatien;Horvátország;;;s Badezimmer, ~;fürdőszoba
20;r Theologe, n;teológus;e Antwort, en;válasz;s Wasser;víz;stehen;állni;sympathisch;szimpatikus;anders;másképp;Belgien;Belgium;;;s Fach, ¨-er;tantárgy
21;r Rennfahrer, ~;autóversenyző;e Zahl, en;szám;s Mineralwasser;ásványvíz;Federball spielen;tollasozni;gut;jó;natürlich;természetesen;Afrika;Afrika;;;weiterschlafen;továbbaludni
22;r Industrielle, n;iparos;e Schülerin, nen;diák (lány);s Studio, s;stúdió;joggen;kocogni;richtig;helyes;bald;hamarosan/nemsokára;China;Kína;;;herunterladen;letölteni
23;r Schüler, ~;diák (fiú);e Reihenfolge, n;sorrend;s Casting, s;kasztolás;kaufen;vásárolni;langweilig;unalmas;schon;régóta, sokáig;Rom;Róma;;;träumen;álmodni
24;r Name, n;név;e Sonne, n;Nap (csillag);s Fotomodell, e;fotómodell;Tennis spielen;teniszezni;glücklich;boldog;gern;szívesen;Neapel;Nápoly;;;breit;széles
25;r Junge, n, n/s;kisfiú;e Blume, n;virág;s Alphabet, e;ábécé;begrüßen;üdvözölni;lecker;finom;übrigens;egyébként;;;;;gegen;körül / felé
26;r Dialog, e;dialógus;e Begrüßung, en;üdvözlés/köszönés;s Land, ¨-er;ország;finden;találni;faul;lusta;alle;minden-ki/-t;;;;;r Eintrittspreis, e;belépődíj
27;r Eistee, s;jeges tea;e Autonummer, n;rendszám;s Café, s;kávézó;beantworten;megválaszolni;groß;nagy;heute;ma;;;;;r Marathon, s;maraton
28;r Text, e;szöveg;e Wortstellung, en;szósorrend;s Thema, Themen;téma;verdienen;keresni (pénzt);klein;kicsi;immer noch;még mindig;;;;;r/e/s Dschungel, ~/s/n;dzsungel
29;r Parkplatz, ¨-e;parkolóhely;e Stadt, ¨-e;város;s Klavier, e;zongora;verstehen;megérteni;hoch;magas;immer;mindig;;;;;r Freizeitpark, s/e/¨-e;vidámpark
30;r Rapper, ~;rapper;e Freundin, nen;barátnő;s Gespräch, e;beszélgetés;bei Siemens arbaiten;Siemensnél dolgozni;wunderschön;csodaszép;zuerst;először;;;;;r Rundgang, ¨-e;körút
31;r Rap, s;rap;e Politik, en;politika;s Hobby, s;hobbi;schon lange warten;régóta várni;berühmt;híres;dran;következő;;;;;e Erwachsene, n;felnőtt
32;r Freund, e;barát;e Technik, en;technika;s Rätsel, ~;rejtvény;Medizin studieren;orvosnak tanulni;kalt;hideg;weiter;tovább;;;;;e Jugendliche, n;tinédzser
33;r Satz, ¨-e;mondat;e Karriere, n;karrier;s Leben, ~;élet;die erste Runde machen;az első kört csinálni;warm;meleg;allein;egyedül;;;;;e Unterhaltung, en;szórakozás
34;r Zeitungsartikel, ~;újság;e Partei, en;párt;s Wetter, ~;időjárás;die Fragen beantworten;a kérdéseket megválaszolni;heiß;forró;weit;messze;;;;;e Libeskomödie, n;romantikus komédia
35;r Tourismus;turizmus;e Galerie, n;galéria;s Heimatland, ¨-er;haza;als Kellner arbeiten;pincérként dolgozni;bewölkt;felhős;at;kukac (@);;;;;r/e/s Dschungel, ~/s/n;dzsungel
36;r Horoskop, e;horoszkóp;e Sinfonie, n;szimfónia;s Gymnasium, Gymnasien;gimnázium;Mathematik studieren;matematikát tanulni;logisch;logikus;gerne;szívesen;;;;;e Ausstellung, en;kiállítás
37;r Job, s;állás;e Literatur, en;irodalom;s Turnen;torna;heiraten;megházasodni;musikalisch;muzikális;vielleicht;talán;;;;;e Szene, n;jelenet / díszlet / színpad
38;r Bundeskanzler, ~;szövetségi kancellár;e Wellness;wellness;s Prozent, e;százalék;ein bisschen faul sein;egy kicsit lusta lenni;schwer;nehéz;später;később;;;;;e Idee, n;ötlet
39;r Strand, ¨-e;strand;e Astrologie;asztrológia;s Tischtennis;ping-pong;draußen sein;kint lenni;super;szuper;gerade;éppen;;;;;e Badesachen;fürdőholmi
40;r CD-Player, ~;CD-lejátszó;e Bundesliga;szövetségi liga;s Programm, e;program;turnen;tornázni;gerade;egyenes;auf Partys;partikon;;;;;r/e/s Dschungel, ~/s/n;dzsungel
41;r Manager, ~;menedzser;e Adresse, n;cím;s Essen, ~;kaja/étel;chatten;chatelni;berühmt;híres;und;és;;;;;s Karaoke;karaoke
42;r Kollege, n;kolléga;e Studentin, nen;egyetemi hallgató nő;s Tier, e;állat;ärgen;bosszantani;beliebt;népszerű, kedvelt;sondern;hanem;;;;;s Paradies, e;éden / paradicsom
43;r Engländer, ~;angol férfi;e Reiseleiterin, nen;idegenvezető;s Schloss, ¨-er;kastély;alles gern machen;mindent szeret csinálni;gemeinsam;közös;oder;ugye;;;;;vorhaben;tervezni / szándékozni
44;r Student, en, en;egyetemi hallgató férfi;e Eltern;szülő;s Symbol, e;szimbólum;lesen;olvasni;drittgrößten;harmadik legnagyobb;denn;hát/tehát;;;;;mitkommen;együtt menni
45;r Geburtstag, e;születésnap;e Mutter, ¨- / e Mutti, s;anya;s Märchen, ~;mese;öffnen;kinyitni;legendär;legendás;aber;de;;;;;pleite sein;csődbe jutva lenni
46;r Ausländer, ~;külföldi;e Lektion, en;lecke;s Haus, ¨-er;ház;stellen;tenni;weltberühmt;világhírű;oft;gyakran;;;;;vergessen;felejteni / elfelejteni
47;r Wohnort, e;lakhely;e Leute;emberek;s Alter, ~;életkor;dunkelbraune Haare haben;sötétbarna haja van;jährlich;éves/évi;sofort;azonnal;;;;;einladen;meghívni
48;r Familienname, n;vezetéknév;e Talkshow, s;talkshow;s Buch, ¨-er;könyv;dunkelblonde Haare haben;sötétszőke haja van;fröhlich;vidám;dringend;sürgősen;;;;;anrufen;felhívni
49;r Vorname, n;keresztnév;e Runde, n;forduló;e/s E-Mail, s;e-mail;Spaß machen;viccelni;luxuriös;fényűző;gerade;éppen;;;;;durch;keresztül / át
50;r Automechaniker, ~;autószerelő;e Dame, n;hölgy;s Heft, e;füzet;Urlaub machen;nyaralni;romantisch;romantikus;leider;sajnos;;;;;s Theaterstück, e;színdarab
51;r Vater, ¨-;apa;e Türkei;Törökország;s Karate;karate;viel unterwegs sein;sokat útón lenni;einfach;egyszerű;im Winter;télen;;;;;s Pech, e;balszerencse
52;r Familienstand, ¨-e;családi állapot;e Kellnerin, nen;pincérnő;s Lernen, ~;tanulás;lieben;szeretni (embert);hübsch;csinos;Deutsch;német nyelv;;;;;böse;gonosz
53;r Koch, ¨-e;szakács;e Pilotin, nen;pilótanő;s Modell, e;modell;gehen;menni;schreklich;borzasztó;alles;minden/-t;;;;;;
54;r Kellner, n;pincér;e Arbeit, en;munka;s Studium, Studien;tanulmányok;fertig sein;kész lenni;schaußlich;pocsék;als;mint, -ként;;;;;;
55;r Kurs, e;kurzus;e Familie, n;család;s Kino, s;mozi;verbringen;eltölteni (időt);schnell;gyors;auch;is;;;;;;
56;r Pilot, en;pilóta;e Schule, n;iskola;s Theater, ~;színház;bleiben;maradni;egal;mindegy;dann;akkor;;;;;;
57;r Deutschkurs, e;német kurzus;e Chemikerin, nen;vegyésznő;s Einkaufszentrum, Einkaufszentren;bevásárlóközpont;schneien;havazni;sportlich;sportos;denn;ugyan, hát;;;;;;
58;r Chemiker, ~;vegyész;e Ärztin, nen;orvosnő;s Bürohaus, ¨-er;irodaház;regnen;esni;intelligent;okos;lange;régóta, sokáig;;;;;;
59;r Arzt, ¨-e;orvos;e Flugbegleiterin, nen;légiutaskísérőnő;s Geschäft, e;üzlet;scheinen;látszani;sicher;biztos;nicht;nem;;;;;;
60;r Flugbegleiter, ~;légiutaskísérő;e Hausfrau, en;háziasszony;s Parlament, e;parlament;einen Schneemann bauen;hóembert építeni;unterschiedlich;különböző;so;annyira;;;;;;
61;r Hausmann, ¨-er;háziúr;e Schauspielerin, nen;színésznő;s Schwimmbad, ¨-er;uszoda;fragen;kérdezni;toll / klasse;remek/klassz;viel;sok(at);;;;;;
62;r Schauspieler, ~;színész;e Rechtsanwältin, nen;ügyvédnő;s Bad, e;fürdő;lernen;tanulni;rot;piros;viele;sok(an);;;;;;
63;r Rechtsanwalt, ¨-e;ügyvéd;e Email-Adresse, n;email-cím;s Büro, s;iroda;sein;lenni;schwarz;fekete;von;vkinek/vminek a …-a/-e;;;;;;
64;r Punkt, e;pont;e Postleitzahl, en;postaszám;s Thermalbad, ¨-er;termálfürdő;studieren;egyetemre/főiskolára járni;blau;kék;etwas;valami;;;;;;
65;r Einwohner, ~;lakos;e Handynummer, n;mobilszám;s Volksfest, e;népünnepély;Fußball spielen;focizni;grün;zöld;rechts;jobbra;;;;;;
66;r Fan, s;rajongó;e Telefonnummer, n;vonalas szám;s Fischerdorf, ¨-er;halászfalu;Karate machen;karatézni;gelb;sárga;links;balra;;;;;;
67;r Zoo, s;állatkert;e Straße, n;utca;s Hochhaus, ¨-er;toronyház/magasház;Musik hören;zenét hallgatni;weiß;fehér;gemeinsam;közösen/együtt;;;;;;
68;r Handball, ¨-e;kézilabda;e Million, en;millió;s Barock;barokk;Saxofon spielen;szaxofonozni;braun;barna;über;felett/fölé;;;;;;
69;r Brief, e;levél;e Landkarte, n;térkép;s Kostüm, e;jelmez;Tango tanzen;tangózni, tangót táncolni;unbequem;kényelmetlen;ins;vki/vmi -ba/-be;;;;;;
70;r Krankenpfleger, ~;ápoló;e Sache, n;dolog;s Meer, e;tenger;küssen;puszilni/csókolni;bequem;kényelmes;besonders;különösen;;;;;;
71;r Sänger, ~;énekes;e Hauptsache, n;lényeg;s Sonderangebot, e;leárazás/különleges ajánlat;bauen;építeni;kurz;rövid;fast;majdnem;;;;;;
72;r Tänzer, ~;táncos;e Entschuldigung, en / e Verzeihung, en;elnézés/-t / bocsánat;s Gerät, e;készülék;reparieren;javítani;lang;hosszú;wieder;ismét/újra;;;;;;
73;r Reporter, ~;riporter;e Krankenschwester, n;ápolónő;s Angebot, e;ajánlat;bezahlen;fizetni;eng;szűk;circa / ungefähr / etwa;körülbelül;;;;;;
74;r Bäcker, ~;pék;e Köchin, nen;szakácsnő;s Handy, s;mobil/-telefon;besuchen;látogatni;weit;széles;statt;helyett;;;;;;
75;r Richter, ~;bíró;e Ukraine;Ukrajna;s Notebook, s;laptop;zentral liegen;központban feküdni;wichtig;fontos;schnell;gyorsan;;;;;;
76;r Verkäufer, ~;eladó;e Slowakei;Szlovákia;s Radio, s;rádió;feiern;ünnepelni;chaotisch;kaotikus;doch;de;;;;;;
77;r Polizist, en, en;rendőr;e Safari, s;szafari;s Navigationssystem, e;GPS;laufen;futni;grau;szürke;hoffentlich;remélhetőleg;;;;;;
78;r Forscher, ~;kutató;e Giraffe, n;zsiráf;s Mikrofon, e;mikrofon;übersetzen;fordítani/lefordítani;mehrere;többféle;jeder / jede / jedes;mindenki;;;;;;
79;r Apotheker, ~;patikus;e Leichtathletik;atlétika;s Fax, e;fax;charakterisieren;jellemezni;wenig;kevés;wirklich;valóban;;;;;;
80;r Gärtner, ~;kertész;e Tochter, ¨-;lány (valakinek);s Kabel, ~;kábel;nennen;hívni/nevezni/megnevezni;genug;elég;selbst;saját maga;;;;;;
81;r Astronaut, en;asztronauta;e Landeskunde, n;országismeret;s Geschenk, e;ajándék;zerstören;elpusztítani;hässlich;csúnya;in Grün;zöldben;;;;;;
82;r Urlaub, e;nyaralás/szabadság;e Bundesland, ¨-er;tartomány;s Gepäck;poggyász;ins Deutsche übersetzen;németre lefordítani;verrückt;őrült;im Moment;pillanatnyilag;;;;;;
83;r Elefant, en;elefánt;e Landeshauptstadt, ¨-e;tartományi főváros;s Geld;pénz;zu Gast sein;vendégeskedni;direkt;közvetlen, direkt;am Wochenende;hétvégénként;;;;;;
84;r Saft, ¨-e;gyümölcslé;e Hauptstadt, ¨-e;főváros;s Glück;szerencse;lachen;nevetni;entfernt;távoli;klassische musik;klasszikus zene;;;;;;
85;r Berg, e;hegy;e Insel, n;sziget;s T-Shirt, s;póló;genießen;élvezni;optimale;optimális / lehető legjobb;an der Universität;az egyetemen;;;;;;
86;r Musiker, ~;(tanult) zenész;e Jahreszeit, en;évszak;s Hemd, en;ing;spazieren;sétálni;pulsierend;lüktető / pulzáló;mehr;több;;;;;;
87;r Musikant, en;zenész;e/s E-Mail, s;e-mail;s Kleid, er;ruha;spazieren gehen;sétálni menni;wunderbar;csodálatos;pro;per (/);;;;;;
88;r Fluss, ¨-e;folyó;e Gruppe, n;csoport;s Interview, s;interjú;auf der Bank sitzen;a padon ülni;gelegen;található / fekvő (hely);nie;soha;;;;;;
89;r Schnee;hó;e Lehrerin, nen;tanárnő;s Kleidungsstück, e;ruha nemű;kosten;kerülni (pénzbe/időbe);lecker;finom;wenigstens;legalább/legkevesebb;;;;;;
90;r Winter, ~;tél;e Mathematik;matematika;s Lieblingskleidungsstück, e;kedvenc ruhadarab;simsen;SMS-ezni;möglich;lehetséges;manchmal;néha;;;;;;
